index,Date,Country,ISO,Confirmed,Recovered,Deaths
0,2020-01-22,Afghanistan,AFG,0,0,0
1,2020-01-22,Albania,ALB,0,0,0
2,2020-01-22,Algeria,DZA,0,0,0
3,2020-01-22,Andorra,AND,0,0,0
4,2020-01-22,Angola,AGO,0,0,0
5,2020-01-22,Antigua and Barbuda,ATG,0,0,0
6,2020-01-22,Argentina,ARG,0,0,0
7,2020-01-22,Armenia,ARM,0,0,0
8,2020-01-22,Australia,AUS,0,0,0
9,2020-01-22,Austria,AUT,0,0,0
10,2020-01-22,Azerbaijan,AZE,0,0,0
11,2020-01-22,Bahamas,BHS,0,0,0
12,2020-01-22,Bahrain,BHR,0,0,0
13,2020-01-22,Bangladesh,BGD,0,0,0
14,2020-01-22,Barbados,BRB,0,0,0
15,2020-01-22,Belarus,BLR,0,0,0
16,2020-01-22,Belgium,BEL,0,0,0
17,2020-01-22,Belize,BLZ,0,0,0
18,2020-01-22,Benin,BEN,0,0,0
19,2020-01-22,Bhutan,BTN,0,0,0
20,2020-01-22,Bolivia,BOL,0,0,0
21,2020-01-22,Bosnia and Herzegovina,BIH,0,0,0
22,2020-01-22,Botswana,BWA,0,0,0
23,2020-01-22,Brazil,BRA,0,0,0
24,2020-01-22,Brunei,BRN,0,0,0
25,2020-01-22,Bulgaria,BGR,0,0,0
26,2020-01-22,Burkina Faso,BFA,0,0,0
27,2020-01-22,Burma, ,0,0,0
28,2020-01-22,Burundi,BDI,0,0,0
29,2020-01-22,Cabo Verde,CPV,0,0,0
30,2020-01-22,Cambodia,KHM,0,0,0
31,2020-01-22,Cameroon,CMR,0,0,0
32,2020-01-22,Canada,CAN,0,0,0
33,2020-01-22,Central African Republic,CAF,0,0,0
34,2020-01-22,Chad,TCD,0,0,0
35,2020-01-22,Chile,CHL,0,0,0
36,2020-01-22,China,CHN,548,28,17
37,2020-01-22,Colombia,COL,0,0,0
38,2020-01-22,Congo (Brazzaville), ,0,0,0
39,2020-01-22,Congo (Kinshasa), ,0,0,0
40,2020-01-22,Costa Rica,CRI,0,0,0
41,2020-01-22,Cote d'Ivoire,CIV,0,0,0
42,2020-01-22,Croatia,HRV,0,0,0
43,2020-01-22,Cuba,CUB,0,0,0
44,2020-01-22,Cyprus,CYP,0,0,0
45,2020-01-22,Czechia,CZE,0,0,0
46,2020-01-22,Denmark,DNK,0,0,0
47,2020-01-22,Diamond Princess, ,0,0,0
48,2020-01-22,Djibouti,DJI,0,0,0
49,2020-01-22,Dominica,DMA,0,0,0
50,2020-01-22,Dominican Republic,DOM,0,0,0
51,2020-01-22,Ecuador,ECU,0,0,0
52,2020-01-22,Egypt,EGY,0,0,0
53,2020-01-22,El Salvador,SLV,0,0,0
54,2020-01-22,Equatorial Guinea,GNQ,0,0,0
55,2020-01-22,Eritrea,ERI,0,0,0
56,2020-01-22,Estonia,EST,0,0,0
57,2020-01-22,Eswatini,SWZ,0,0,0
58,2020-01-22,Ethiopia,ETH,0,0,0
59,2020-01-22,Fiji,FJI,0,0,0
60,2020-01-22,Finland,FIN,0,0,0
61,2020-01-22,France,FRA,0,0,0
62,2020-01-22,Gabon,GAB,0,0,0
63,2020-01-22,Gambia,GMB,0,0,0
64,2020-01-22,Georgia,GEO,0,0,0
65,2020-01-22,Germany,DEU,0,0,0
66,2020-01-22,Ghana,GHA,0,0,0
67,2020-01-22,Greece,GRC,0,0,0
68,2020-01-22,Grenada,GRD,0,0,0
69,2020-01-22,Guatemala,GTM,0,0,0
70,2020-01-22,Guinea,GIN,0,0,0
71,2020-01-22,Guinea-Bissau,GNB,0,0,0
72,2020-01-22,Guyana,GUY,0,0,0
73,2020-01-22,Haiti,HTI,0,0,0
74,2020-01-22,Holy See,VAT,0,0,0
75,2020-01-22,Honduras,HND,0,0,0
76,2020-01-22,Hungary,HUN,0,0,0
77,2020-01-22,Iceland,ISL,0,0,0
78,2020-01-22,India,IND,0,0,0
79,2020-01-22,Indonesia,IDN,0,0,0
80,2020-01-22,Iran,IRN,0,0,0
81,2020-01-22,Iraq,IRQ,0,0,0
82,2020-01-22,Ireland,IRL,0,0,0
83,2020-01-22,Israel,ISR,0,0,0
84,2020-01-22,Italy,ITA,0,0,0
85,2020-01-22,Jamaica,JAM,0,0,0
86,2020-01-22,Japan,JPN,2,0,0
87,2020-01-22,Jordan,JOR,0,0,0
88,2020-01-22,Kazakhstan,KAZ,0,0,0
89,2020-01-22,Kenya,KEN,0,0,0
90,2020-01-22,"Korea, South", ,1,0,0
91,2020-01-22,Kosovo,SRB,0,0,0
92,2020-01-22,Kuwait,KWT,0,0,0
93,2020-01-22,Kyrgyzstan,KGZ,0,0,0
94,2020-01-22,Laos, ,0,0,0
95,2020-01-22,Latvia,LVA,0,0,0
96,2020-01-22,Lebanon,LBN,0,0,0
97,2020-01-22,Liberia,LBR,0,0,0
98,2020-01-22,Libya,LBY,0,0,0
99,2020-01-22,Liechtenstein,LIE,0,0,0
100,2020-01-22,Lithuania,LTU,0,0,0
101,2020-01-22,Luxembourg,LUX,0,0,0
102,2020-01-22,MS Zaandam, ,0,0,0
103,2020-01-22,Madagascar,MDG,0,0,0
104,2020-01-22,Malawi,MWI,0,0,0
105,2020-01-22,Malaysia,MYS,0,0,0
106,2020-01-22,Maldives,MDV,0,0,0
107,2020-01-22,Mali,MLI,0,0,0
108,2020-01-22,Malta,MLT,0,0,0
109,2020-01-22,Mauritania,MRT,0,0,0
110,2020-01-22,Mauritius,MUS,0,0,0
111,2020-01-22,Mexico,MEX,0,0,0
